From: e8l6@jupiter.sun.csd.unb.ca (Rocket)
Subject: NHL Final point standings
Organization: University of New Brunswick
Distribution: rec.sport.hockey
Lines: 694


    Individual leaders by total points (Final standings)
    NOTE: Games played and points per games not accurate !!

    Player       Team   GP  G   A  Pts ppg  Prj PIM +/-

    M.Lemieux    PIT    59  69  91 160 2.71 160  38  53
    LaFontaine   BUF    82  53  95 148 1.80 148  63  13
    Oates        BOS    83  45  97 142 1.71 142  32  12
    Yzerman      DET    83  58  79 137 1.65 137  44  33
    Turgeon      NYI    80  58  74 132 1.65 132  26  -2
    Selanne      WIN    82  76  56 132 1.61 132  45   6
    Mogilny      BUF    75  76  51 127 1.69 127  40   9
    Gilmour      TOR    81  32  95 127 1.57 127  96  32
    Robitaille   LA     82  63  62 125 1.52 127 100  16
    Recchi       PHI    81  53  70 123 1.52 123  95  -2
    Sundin       QUE    79  47  67 114 1.44 114  96  19
    Stevens      PIT    71  55  57 112 1.58 112 169  16
    Bure         VAN    82  60  50 110 1.34 110  67  37
    Tocchet      PIT    79  48  61 109 1.38 109 240  28
    Roenick      CHI    82  50  57 107 1.30 107  82  15
    Janney       STL    82  24  82 106 1.29 106  12   1
    Sakic        QUE    77  48  57 105 1.36 105  40  -4
    Juneau       BOS    83  32  70 102 1.23 102  33  21
    Hull         STL    78  54  47 101 1.29 101  41 -21
    Andreychuk   TOR    81  55  45 100 1.23 100  56   4
    Fleury       CAL    82  34  66 100 1.22 100  88  15
    Francis      PIT    83  24  76 100 1.20 100  68   6
    Housley      WIN    78  18  79  97 1.24  97  52 -13
    Ciccarelli   DET    81  41  56  97 1.20  97  81  12
    Damphousse   MON    82  39  58  97 1.18  97  96   5
    Hawerchuk    BUF    79  16  80  96 1.22  96  48 -14
    Shanahan     STL    69  51  43  94 1.36  94 168   9
    Muller       MON    79  37  57  94 1.19  94  75   9
    Jagr         PIT    80  34  60  94 1.18  94  69  31
    Modano       MIN    80  33  60  93 1.16  93  81  -6
    Messier      NYR    72  25  66  91 1.26  91  70  -3
    Sanderson    HAR    79  46  43  89 1.13  89  28 -24
    Reichel      CAL    78  40  48  88 1.13  88  54  23
    Bellows      MON    80  40  48  88 1.10  88  42   4
    Fedorov      DET    72  34  53  87 1.21  87  72  33
    Thomas       NYI    76  37  50  87 1.14  87 109   0
    Coffey       DET    79  12  75  87 1.10  87  77  16
    Kurri        LA     81  27  60  87 1.07  88  38  20
    Bradley      TB     78  42  44  86 1.10  86  90 -22
    Brind'Amour  PHI    78  37  49  86 1.10  86  87  -9
    Ronning      VAN    77  29  56  85 1.10  85  30  16
    Bondra       WAS    80  37  48  85 1.06  85  70   3
    Cassels      HAR    81  21  64  85 1.05  85  57 -15
    Murphy       PIT    82  22  62  84 1.02  84  73  42
    Bourque      BOS    78  19  63  82 1.05  82  40  38
    Granato      LA     79  37  45  82 1.04  83 165   3
    Verbeek      HAR    81  39  43  82 1.01  82 180 -11
    Ridley       WAS    81  26  56  82 1.01  82  38   4
    Duchesne     QUE    81  20  62  82 1.01  82  57  15
    C.Lemieux    NJ     75  30  51  81 1.08  81 149   0
    Suter        CAL    80  23  58  81 1.01  81 112  -1
    Lebeau       MON    69  31  49  80 1.16  80  20  23
    Roberts      CAL    57  38  41  79 1.39  79 172  31
    Semak        NJ     80  37  42  79 0.99  79  70  22
    Hatcher      WAS    80  34  45  79 0.99  79 110 -12
    D.Hunter     WAS    81  20  59  79 0.98  79 194   2
    Courtnall    MIN    82  36  43  79 0.96  79  49  -2
    Brown        STL    69  25  53  78 1.13  78  56  -4
    Ricci        QUE    76  27  51  78 1.03  78 121   9
    Kisio        SJ     77  26  52  78 1.01  78  90 -15
    Craven       VAN    76  25  52  77 1.01  77  30   0
    G.Courtnall  VAN    82  31  46  77 0.94  77 167  23
    Nolan        QUE    72  36  40  76 1.06  76 185  -6
    King         NYI    74  38  38  76 1.03  76  45  -1
    Amonte       NYR    80  33  43  76 0.95  76  47   0
    Gagner       MIN    82  33  43  76 0.93  76 141 -15
    Lindros      PHI    58  41  34  75 1.29  75 143  25
    Hogue        NYI    67  33  42  75 1.12  75 106   6
    Nieuwendyk   CAL    77  38  37  75 0.97  75  52   8
    Pivonka      WAS    66  21  53  74 1.12  74  51  12
    Borschevsky  TOR    76  34  40  74 0.97  74  26  32
    Dahlen       MIN    81  35  39  74 0.91  74   6 -18
    Richer       NJ     76  38  35  73 0.96  73  44   0
    Emerson      STL    80  22  51  73 0.91  73  60  -1
    Nedved       VAN    82  38  35  73 0.89  73  94  18
    Chelios      CHI    82  15  58  73 0.89  73 282  13
    Carson       LA     84  37  36  73 0.87  74  30   2
    Zhamnov      WIN    66  25  47  72 1.09  72  58   5
    Kvartalnov   BOS    72  30  42  72 1.00  72  14   9
    Steen        WIN    78  22  50  72 0.92  72  75  -8
    Linden       VAN    82  33  39  72 0.88  72  60  15
    Mullen       PIT    71  33  37  70 0.99  70  12  21
    Larmer       CHI    82  35  35  70 0.85  70  48  22
    Donnelly     LA     82  29  40  69 0.84  70  45  18
    Kovalenko    QUE    80  27  41  68 0.85  68  57  10
    Gartner      NYR    81  45  23  68 0.84  68  55  -2
    Khristich    WAS    61  31  36  67 1.10  67  26  26
    Sheppard     DET    70  32  34  66 0.94  66  29   7
    Garpenlov    SJ     78  22  44  66 0.85  66  56 -25
    Iafrate      WAS    81  25  41  66 0.81  66 169  15
    Gretzky      LA     43  16  49  65 1.51  67   6   6
    Zalapski     HAR    80  14  51  65 0.81  65  86 -32
    Graves       NYR    81  36  29  65 0.80  65 148  -4
    Anderson     TOR    74  21  43  64 0.86  64 117  19
    Zelepukin    NJ     76  23  41  64 0.84  64  66  16
    MacIver      OTT    78  17  46  63 0.81  63  80 -42
    Dineen       PHI    80  35  28  63 0.79  63 199  11
    Chiasson     DET    78  12  50  62 0.79  62 151  15
    Ysebaert     DET    79  34  28  62 0.78  62  42  19
    Galley       PHI    80  13  49  62 0.78  62  98  14
    McEachern    PIT    83  28  33  61 0.73  61  46  21
    Nicholls     NJ     67  13  47  60 0.90  60  80 -13
    Keane        MON    75  15  45  60 0.80  60  93  28
    Flatley      NYI    77  13  47  60 0.78  60  61   3
    S.Young      QUE    81  30  30  60 0.74  60  20   4
    Shannon      WIN    82  20  40  60 0.73  60  91  -4
    Fedyk        PHI    74  21  38  59 0.80  59  48  14
    Blake        LA     76  16  43  59 0.78  60 152  18
    Olausson     WIN    66  16  41  57 0.86  57  22  -5
    Makarov      CAL    70  18  39  57 0.81  57  40   0
    Smith        CHI    76  10  47  57 0.75  57 212  13
    Elynuik      WAS    77  22  35  57 0.74  57  66   2
    Stevens      NJ     79  12  45  57 0.72  57 116  16
    Adams        VAN    51  25  31  56 1.10  56  14  33
    Tucker       TB     76  17  39  56 0.74  56  69 -10
    MacInnis     CAL    48  11  43  54 1.13  54  59  15
    Sutter       CHI    63  20  34  54 0.86  54  65   9
    Bodger       BUF    80   9  45  54 0.68  54  87  14
    Nemchinov    NYR    81  23  31  54 0.67  54  34  15
    Driver       NJ     81  14  40  54 0.67  54  64  -9
    Ruuttu       CHI    82  17  37  54 0.66  54 134  14
    Yake         HAR    63  22  31  53 0.84  53  44   5
    Turcotte     NYR    68  25  28  53 0.78  53  40  -2
    Sandstrom    LA     37  25  27  52 1.41  53  51  11
    Malakhov     NYI    61  14  38  52 0.85  52  59  14
    Ward         VAN    68  22  30  52 0.76  52  82  32
    Otto         CAL    74  19  33  52 0.70  52 150   2
    Kontos       TB     66  27  24  51 0.77  51  12  -7
    Leach        BOS    78  26  25  51 0.65  51 126  -6
    Poulin       HAR    78  20  31  51 0.65  51  37 -19
    Tkachuk      WIN    81  28  23  51 0.63  51 199 -14
    Savard       MON    62  16  34  50 0.81  50  90   2
    Norton       NYI    63  12  38  50 0.79  50  45  -6
    Cullen       TOR    64  18  32  50 0.78  50 109 -23
    Cote         WAS    74  21  29  50 0.68  50  34  28
    Eklund       PHI    52  11  38  49 0.94  49  16   8
    Olczyk       NYR    68  21  28  49 0.72  49  52  -1
    Semenov      VAN    74  12  37  49 0.66  49  32  16
    Davydov      WIN    77  28  21  49 0.64  49  64  -2
    Miller       STL    80  24  25  49 0.61  49  96   0
    Poulin       BOS    83  16  33  49 0.59  49  62  30
    Klima        EDM    66  32  16  48 0.73  48  98 -15
    Dionne       MON    73  20  28  48 0.66  48  55   6
    Baker        OTT    74  19  29  48 0.65  48  52 -21
    Rucinsky     QUE    76  18  30  48 0.63  48  51  14
    Weight       EDM    76  17  31  48 0.63  48  65   5
    Zhitnik      LA     76  12  36  48 0.63  49  78  -2
    MacLean      NJ     78  24  24  48 0.62  48 100  -7
    Corson       EDM    78  16  31  47 0.60  47 207 -16
    Sweeney      BUF    79  21  26  47 0.59  47 118   4
    Simpson      EDM    60  24  22  46 0.77  46  36 -14
    Hawgood      PHI    66  11  35  46 0.70  46  68  -9
   
    Godynyuk     CAL    26   3   4   7 0.27   7  17   7
    Rice         EDM    26   2   5   7 0.27   7  13  -5
    Murray       BOS    27   3   4   7 0.26   7   8  -6
    Wiemer       BOS    27   1   6   7 0.26   7  48  -1
    Berezan      SJ     28   3   4   7 0.25   7  28 -18
    Marois       NYI    28   2   5   7 0.25   7  35  -3
    Mallette     NJ     34   4   3   7 0.21   7  56   3
    Hynes        PHI    36   3   4   7 0.19   7  16  -3
    Gilhen       TB     42   3   4   7 0.17   7  12 -13
    Chase        STL    49   2   5   7 0.14   7 204  -9
    Vukota       NYI    71   2   5   7 0.10   7 199   4
    Zettler      SJ     79   0   7   7 0.09   7 150 -48
    Lafreniere   TB      9   3   3   6 0.67   6   4  -5
    Propp        MIN    15   3   3   6 0.40   6   0  -8
    Belanger     MON    18   4   2   6 0.33   6   4   1
    Kerr         HAR    22   0   6   6 0.27   6   7 -11
    Shuchuk      LA     23   2   4   6 0.26   6  14   4
    Bergland     TB     25   3   3   6 0.24   6  11  -9
    Vaske        NYI    25   1   5   6 0.24   6  30   6
    Carney       BUF    29   2   4   6 0.21   6  51   2
    Dinnen       OTT    31   2   4   6 0.19   6  30 -19
    Albelin      NJ     34   1   5   6 0.18   6  14  -1
    Patterson    BUF    35   4   2   6 0.17   6  18  -2
    Ladouceur    HAR    59   2   4   6 0.10   6 107 -17
    Russell      CHI    66   2   4   6 0.09   6 151   5
    Lang         LA     11   0   5   5 0.45   5   2  -3
    Lipuma       TB     13   0   5   5 0.38   5  32   1
    Brown        NJ     15   0   5   5 0.33   5   2   3
    Kozlov       DET    16   4   1   5 0.31   5  14  -1
    Savage       WAS    16   2   3   5 0.31   5  12  -4
    Bruce        SJ     17   2   3   5 0.29   5  33 -14
    Byers        SJ     18   4   1   5 0.28   5 122  -2
    Conroy       PHI    18   3   2   5 0.28   5  17   0
    Van Allen    EDM    21   1   4   5 0.24   5   6  -2
    Richer       BOS    23   1   4   5 0.22   5  18  -9
    Wolanin      QUE    23   1   4   5 0.22   5  49   8
    Leach        HAR    24   3   2   5 0.21   5   4  -7
    Prokhorov    STL    26   4   1   5 0.19   5  15  -4
    Kruse        CAL    26   2   3   5 0.19   5  41   3
    Richter      NYR    35   0   5   5 0.14   5   2   0
    Bawa         SJ     41   5   0   5 0.12   5  47 -24
    Osiecki      MIN    42   1   4   5 0.12   5  19 -20
    Matvichuk    MIN    51   2   3   5 0.10   5  26  -7
    Pedersen     HAR    58   1   4   5 0.09   5  60   2
    Jennings     PIT    58   0   5   5 0.09   5  65   7
    Essensa      WIN    66   0   5   5 0.08   5   2   0
    Ray          BUF    68   3   2   5 0.07   5 211  -3
    McKim        BOS     7   1   3   4 0.57   4   0   2
    Faust        PHI     8   2   2   4 0.50   4   4   3
    Smolinski    BOS     8   1   3   4 0.50   4   0   3
    Fogarty      PIT    12   0   4   4 0.33   4   4  -3
    Hervey       TB     15   0   4   4 0.27   4  36  -4
    Picard       SJ     25   4   0   4 0.16   4  24 -17
    Reese        CAL    25   0   4   4 0.16   4   4   0
    Romaniuk     WIN    28   3   1   4 0.14   4  22   0
    Thompson     LA     28   0   4   4 0.14   4  79  -3
    Pilon        NYI    41   1   3   4 0.10   4 146  -3
    Giles        STL    48   0   4   4 0.08   4  40  -2
    Baron        STL    53   2   2   4 0.08   4  59  -5
    Cheveldae    DET    66   0   4   4 0.06   4   4   0
    Hankinson    NJ      4   2   1   3 0.75   3   9   2
    McDougall    EDM     4   2   1   3 0.75   3   4   2
    Felsner      STL     4   0   3   3 0.75   3   0   0
    Ruff         TB      8   2   1   3 0.38   3   8  -1
    Petrov       MON     9   2   1   3 0.33   3  10   2
    Black        MIN    10   2   1   3 0.30   3   4   0
    Morris       SJ     14   0   3   3 0.21   3   6 -11
    Walter       VAN    23   3   0   3 0.13   3   8  -2
